,0
0,7
1,9
2,84
3,5
4,2
5,5
6,88
7,6
8,80
9,12
10,67
11,18
12,73
13,81
14,20
15,69
16,93
17,6
18,22
19,71
20,8
21,13
22,74
23,10
24,1
25,4
26,19
27,62
28,36
29,63
30,5
31,3
32,24
33,12
34,55
35,1
36,4
37,9
38,3
39,8
40,1
41,1
42,2
43,5
44,10
45,56
46,2
47,5
48,1
49,5
50,1
51,27
52,54
53,5
54,4
55,16
56,80
57,4
58,28
59,7
60,5
61,56
62,1
63,6
64,37
65,2
66,54
67,16
68,26
69,6
70,52
71,7
72,20
73,73
74,14
75,18
76,68
77,1
78,1
79,2
80,18
81,17
82,2
83,59
84,6
85,2
86,47
87,29
88,5
89,4
90,7
91,2
92,57
93,5
94,34
95,2
96,5
97,32
98,4
99,13
100,46
101,15
102,6
103,9
104,5
105,9
106,46
107,9
108,6
109,22
110,9
111,7
112,2
113,1
114,51
115,2
116,13
117,8
118,1
119,31
120,47
121,16
122,5
123,79
124,2
125,18
126,21
127,21
128,38
129,10
130,2
131,9
132,20
133,14
134,15
135,13
136,16
137,2
138,5
139,4
140,89
141,3
142,32
143,36
144,6
145,22
146,3
147,5
148,16
149,14
150,62
151,3
152,25
153,29
154,13
155,12
156,18
157,5
158,35
159,17
160,6
161,37
162,1
163,7
164,4
165,6
166,9
167,68
168,3
169,4
170,4
171,1
172,89
173,21
174,16
175,47
176,1
177,9
178,6
179,98
180,15
181,33
182,51
183,5
184,34
185,61
186,6
187,10
188,44
189,15
190,25
191,9
192,91
193,5
194,9
195,17
196,7
197,10
198,6
199,46
200,20
201,1
202,7
203,72
204,12
205,87
206,9
207,3
208,8
209,3
210,19
211,30
212,27
213,6
214,5
215,12
216,52
217,24
218,5
219,21
220,39
221,12
222,3
223,18
224,8
225,9
226,21
227,8
228,8
229,4
230,9
231,5
232,6
233,21
234,20
235,65
236,3
237,11
238,4
239,20
240,3
241,71
242,25
243,74
244,3
245,11
246,3
247,39
248,44
249,8
250,92
251,4
252,9
253,19
254,23
255,6
256,2
257,28
258,9
259,3
260,11
261,6
262,21
263,9
264,50
265,10
266,9
267,6
268,44
269,29
270,5
271,4
272,18
273,51
274,21
275,9
276,37
277,54
278,7
279,15
280,78
281,24
282,71
283,2
284,47
285,9
286,13
287,5
288,25
289,21
290,57
291,3
292,19
293,16
294,50
295,14
296,12
297,8
298,10
299,15
300,7
301,48
302,5
303,12
304,6
305,23
306,65
307,15
308,18
309,36
310,31
311,7
312,2
313,56
314,8
315,22
316,16
317,3
318,2
319,13
320,66
321,11
322,27
323,28
324,18
325,16
326,19
327,47
328,8
329,6
330,14
331,3
332,8
333,92
334,7
335,4
336,30
337,36
338,14
339,7
340,1
341,10
342,89
343,15
344,80
345,56
346,16
347,26
348,15
349,3
350,7
351,73
352,23
353,33
354,6
355,32
356,21
357,13
358,6
359,12
360,24
361,10
362,14
363,1
364,4
365,23
366,14
367,34
368,20
369,13
370,16
371,67
372,3
373,16
374,5
375,40
376,38
377,29
378,2
379,33
380,36
381,7
382,48
383,35
384,5
385,19
386,15
387,12
388,31
389,17
390,5
391,11
392,14
393,74
394,3
395,11
396,37
397,11
398,2
399,4
400,2
401,1
402,4
403,24
404,4
405,11
406,65
407,16
408,4
409,12
410,22
411,38
412,22
413,43
414,10
415,39
416,7
417,40
418,59
419,13
420,24
421,7
422,7
423,3
424,38
425,8
426,74
427,22
428,30
429,28
430,1
431,30
432,5
433,9
434,23
435,68
436,10
437,44
438,4
439,10
440,31
441,7
442,19
443,6
444,24
445,43
446,80
447,15
448,7
449,38
450,5
451,6
452,3
453,2
454,1
455,3
456,35
457,13
458,14
459,67
460,8
461,3
462,32
463,7
464,3
465,21
466,11
467,4
468,2
469,4
470,2
471,27
472,18
473,52
474,14
475,34
476,5
477,26
478,21
479,95
480,37
481,58
482,26
483,50
484,16
485,10
486,1
487,16
488,5
489,45
490,10
491,3
492,10
493,3
494,4
495,59
496,34
497,15
498,82
499,99
500,18
501,3
502,66
503,25
504,24
505,15
506,3
507,2
508,25
509,14
510,46
511,10
512,2
513,13
514,12
515,31
516,66
517,30
518,4
519,54
520,37
521,62
522,4
523,11
524,4
525,5
526,19
